texts,scores
nothing but revealing before the world each and every one of his political immaturity and moral corruption,0.0
link,0.0
picking on,0.0
alone,0.0
pretexts,0.0
perpetrated,0.0
impertinently picking a quarrel,0.0
what a brazen - faced deception of reality,0.0
the real ringleader of evil,0.0
so - called,0.0
so - called,0.0
trying to criticize,0.0
axis of evil,0.0
warlike tone,0.0
axis of evil,0.0
the most destructive weapons,0.0
do not sincerely share the values,0.0
condemnation,0.0
concerning themselves,0.0
the world's most dangerous regimes,0.0
the impossible feat,0.0
the evil is real,0.0
fight terrorism alone,0.0
defiance,0.0
impatience,0.0
rejecting the idea,0.0
defiance,0.0
to be enemies,0.0
the world has heated up a notch,0.0
the evil that must be destroyed,0.0
may annoy,0.0
aggressive policy,0.0
adopt an aggressive policy,0.0
are considered,0.0
enemies of america is not just,0.0
to seek to target,0.0
the evil empire,0.0
regarded,0.0
without comprehensively consulting with the countries concerned,0.0
adversarial us position,0.0
as enemies,0.0
sees,0.0
used to call,0.0
as evil,0.0
targets are the groups that are regarded as enemies,0.0
deserves condemnation,0.0
regards,0.0
was naive,0.0
barely scraped through,0.0
enemies,0.0
may step up sabotage,0.0
still assist terrorists,0.0
are the targets of suppression,0.0
evil,0.0
according to washington's claim,0.0
more intense,0.0
condemnation,0.0
it does not matter,0.0
axis of evil,0.0
axis of evil,0.0
culprits,0.0
has raised fears,0.0
are seen,0.0
symptom of the 23 years of war that has devastated afghanistan,0.0
was worried,0.0
criticism,0.0
cast away the chance,0.0
axis of evil,0.0
labeling,0.0
admonishes,0.0
does not conform,0.0
lashed out,0.0
holds,0.0
feels uneasy,0.0
attack,0.0
axis of evil theory,0.0
doubts,0.0
completely closed the door,0.0
axis of evil theory,0.0
charging,0.0
may have doubts,0.0
single - handedly destroyed,0.0
would be completely blocked,0.0
lost reason,0.0
negative reactions,0.0
in an utterly disorderly way,0.0
most unfortunate part,0.0
also thought it hard to agree,0.0
is a gross mistake,0.0
have criticized,0.0
"is , more or less , untenable",0.0
launch attack,0.0
would cause japan and the republic of korea ( rok ) feel disturbed,0.0
would possibly forfeit all recent efforts,0.0
is really hard to understand,0.0
they may no longer stand shoulder to shoulder,0.0
condemned and counter - attacked,0.0
seems to be determined to expand the scope of the anti - terror war,0.0
queried,0.0
is particularly opposed,0.0
thinking,0.0
a gross mistake,0.0
advanced,0.0
irritate,0.0
axis of evil,0.0
 lose popular support among,0.0
doubt,0.0
feel disturbed,0.0
condemnation,0.0
attempts to use the anti - terror war to play with political party politics,0.0
axis of evil theory,0.0
it's really strange,0.0
to think,0.0
axis of evil,0.0
increasing attacks,0.0
meddling,0.0
political cynicism,0.0
pained him,0.0
no one can feel proud,0.0
"celebration ,",0.0
simple lack of respect,0.0
vicissitudes,0.0
failed,0.0
democracy exhausted all its generosity,0.0
deformed,0.0
media conspiracy,0.0
conspiring,0.0
really had reached,0.0
anthology of rhetorical follies,0.0
gives constant demonstrations of discontent and irritation,0.0
falsifying history,0.0
hidden agents,0.0
conquering,0.0
likewise thwarted,0.0
denies,0.0
adulteration or deceitful use,0.0
adulterated,0.0
abuse of history,0.0
eroding,0.0
inconsistent,0.0
rejected,0.0
be rejected with all determination,0.0
ghost of a military insurgency,0.0
that terrible day,0.0
falsified,0.0
one of the most terrible,0.0
collective illusion,0.0
thwarted,0.0
domination,0.0
such a failure,0.0
in mourning,0.0
barbarism,0.0
enormous,0.0
unacceptable degradation,0.0
made reckless threats,0.0
threats,0.0
the axis of evil,0.0
hard - line wing,0.0
threat,0.0
apprehensions and resentment,0.0
have direct influence,0.0
at the expense of the world's security and stability,0.0
have the final say,0.0
will consult with no one,0.0
repeat his father's mistake,0.0
to create the impression,0.0
poses a danger,0.0
axis of evil,0.0
crush,0.0
involves some contradictions,0.0
does not want,0.0
apprehensions,0.0
evil,0.0
the worst,0.0
axis of evil,0.0
typical texan mentality,0.0
axis of evil,0.0
closer to that of cowboys than to a civilized mentality,0.0
reckless,0.0
a catastrophe would engulf every country,0.0
simultaneously raises apprehensions and resentment,0.0
islam is not alone targeted,0.0
not even,0.0
subsequently denied,0.0
punish,0.0
do not reflect the reality,0.0
extremist,0.0
therefore planning to trigger wars here and there,0.0
resentment,0.0
was supposed to do by virtue of his post,0.0
only to mislead,0.0
described,0.0
such regimes,0.0
the countries of the axis of evil,0.0
evil empire,0.0
axis of evil,0.0
axis of evil,0.0
axis of evil,0.0
has been widely criticized,0.0
labeled,0.0
to describe,0.0
not only harming,0.0
if there is no confidence,0.0
misguided policy,0.0
atmosphere of conflict,0.0
constitute a breeding ground for bilateral tensions,0.0
constant aggressive,0.0
warned,0.0
triggers domestic turmoil,0.0
would hurt the people,0.0
there will be no investments,0.0
waging a ruthless war,0.0
ambiguous,0.0
do not even have,0.0
truly inconceivable,0.0
no confidence,0.0
has sounded the alarm,0.0
scares away,0.0
are only,0.0
argued,0.0
constant aggressive attitude,0.0
categorized,0.0
is succeeding,0.0
tactless actions,0.0
expressing discontent,0.0
accused,0.0
very likely continue to lose our edge,0.0
does not reflect,0.0
opposition activists,0.0
meddling,0.0
not that of journalists,0.0
criticized,0.0
uncalled - for,0.0
still,0.0
violates the principle,0.0
voiced his concern,0.0
not in keeping with,0.0
vague,0.0
parasitic economies,0.0
interference,0.0
extremely incompetent,0.0
scares away,0.0
misled by the smear campaign and information sabotage,0.0
on the verge of a major breakdown,0.0
more concerned,0.0
plotting,0.0
the concerns voiced,0.0
are to blame,0.0
the rule of law is under fire,0.0
the concerns voiced,0.0
accused,0.0
the criticisms,0.0
"threats against freedom of expression , democracy , and legal security",0.0
questioned,0.0
waging a ruthless war against,0.0
claims to defend,0.0
concern that exists,0.0
give us nothing,0.0
questioning,0.0
an aberration that goes against mankind,0.0
warned,0.0
challenged,0.0
does not endorse,0.0
considers,0.0
was not even,0.0
repudiates,0.0
corruption,0.0
was rejected,0.0
risks,0.0
was seen,0.0
never apologized,0.0
are not competitive enough,0.0
violated his military oath,0.0
such boasts,0.0
changing and contradicting personality,0.0
will not allow,0.0
irresponsible,0.0
destroys,0.0
demerits,0.0
to destroy our traditional and glorious armed forces,0.0
"it is obsolete , it does not work",0.0
destroys the fundamental principles of subordination,0.0
totally lack planning and administrative control,0.0
must be taken to trial for treason,0.0
"requests , through a bulletin",0.0
because the salary is not enough,0.0
most serious consequences,0.0
is not in line with the majesty of a president,0.0
inability to judge,0.0
to the venezuelan armed forces' misfortune,0.0
have damaged so much,0.0
kick chavez out of power,0.0
intentions,0.0
distanced themselves,0.0
warns,0.0
are false,0.0
expose all venezuelans to national and international ridicule,0.0
they are so wrong and far from this reality,0.0
clearly show serious unbalanced states of mind,0.0
military morale is at stake,0.0
would be badly militarized when,0.0
dishonored the uniform,0.0
taking away the will to react and defend,0.0
excesses,0.0
complained,0.0
major fear,0.0
disguises,0.0
despise,0.0
disqualify him,0.0
threatens,0.0
is a true oligarch,0.0
dishonoring,0.0
seeks to hide,0.0
elite,0.0
is subordinated to his own personal sentiments and ambition,0.0
is now intolerable for the dignity,0.0
a man blinded by power,0.0
denied,0.0
has demoralized and corrupted,0.0
think and state,0.0
obsolete,0.0
are not appropriate,0.0
warn,0.0
does not commit,0.0
ceased to be a soldier of the fatherland,0.0
immediate trial for alleged crimes,0.0
being dishonorable,0.0
antagonism,0.0
boasts,0.0
constitute a serious insult,0.0
"dismantling , destroying and demoralizing",0.0
commits a crime,0.0
discredits and kills,0.0
ridicule,0.0
disqualified president,0.0
would have exceeded his authority,0.0
humiliates,0.0
as an act of submission,0.0
is obsolete,0.0
insufficient mortgage loans,0.0
seeks to hide behind a military uniform,0.0
criticize,0.0
to subjugate it,0.0
veils his fears and traumas,0.0
unfortunately for the nation,0.0
practically no hospital medical attention,0.0
dishonoring,0.0
not knowing the meaning,0.0
oppose,0.0
not responsible,0.0
growing unrest,0.0
questioned,0.0
march on the presidential palace,0.0
pointed the finger,0.0
can not be called a democracy,0.0
put on a spectacle,0.0
were being used,0.0
fleeing from injustice and totalitarianism,0.0
criticism,0.0
fears,0.0
he was going to demand,0.0
complaints,0.0
charged,0.0
harsh criticism,0.0
worried,0.0
criticized,0.0
critical opinions,0.0
traitor,0.0
outside the scope,0.0
discontent was running high,0.0
undemocratic,0.0
march on,0.0
calling,0.0
to step down,0.0
demand,0.0
protest,0.0
accused,0.0
calling on,0.0
to protest,0.0
opportunistic,0.0
no freedom of expression,0.0
resignation,0.0
denying,0.0
yelled,0.0
us - made israeli war machine,0.0
promote instability,0.0
hallucination,0.0
injustice can not last long,0.0
all the mighty,0.0
no matter how long sharon humiliates arab dignity,0.0
as he calls it,0.0
raving,0.0
"forgot all principles and role in defending justice , and international legitimacy",0.0
unlimited capabilities,0.0
instigate struggles and wars,0.0
never stopped to consider,0.0
formidable supernatural powers,0.0
mere expression of failure,0.0
embody the bankrupt policy of israeli criminal extremism,0.0
farcical - yet - provocative,0.0
extremist gang,0.0
assassin,0.0
aggressive,0.0
powder keg,0.0
failure to gain legitimacy,0.0
brutality,0.0
could accept,0.0
under siege,0.0
unequal,0.0
traitorous,0.0
devastating what remains,0.0
accusations,0.0
an excuse,0.0
assassin,0.0
showed its true hostility,0.0
raving,0.0
the assassin,0.0
these accusations,0.0
assassinate' the rights,0.0
"an affront to palestinian , arab dignity , and international justice",0.0
pretends,0.0
the rights and privileges that they would automatically get under geneva convention,0.0
one of the grossest type of human rights violations,0.0
in cages,0.0
violators of human rights,0.0
the most shameful detentions in the history of post - war incarceration in the 21st century,0.0
whose hair is not blondest of the blonde,0.0
pot calling the kettle black,0.0
"according to americans , this sort of humanity does not qualify for any of the laws",0.0
non - white anglo - saxon - protestant humanity,0.0
criticized,0.0
because he is not part of the non - wasp humanity,0.0
what is non - wasp humanity,0.0
whose eyes are not bluest of the blue,0.0
does not qualify for any of the laws,0.0
pointing its finger of blame,0.0
in chain to another side of the globe,0.0
no way defending,0.0
non - wasp humanity,0.0
the point,0.0
like the case of that pot who called the kettle black,0.0
has been calling,0.0
treating these prisoners like an ostrich,0.0
history of crimes against humanity,0.0
leaves plenty to be desired,0.0
not up to him to decide who is a captive or who is not a captive,0.0
will be meaningless,0.0
nothing other than,0.0
blasts,0.0
meaningless,0.0
considers,0.0
refuses to admit,0.0
it is pure rhetoric,0.0
have denounced,0.0
can only be paradoxical,0.0
supposedly model democracy like the usa can trample on the law to such an extent,0.0
meaningless,0.0
do not enjoy the minimum guarantees,0.0
are dangerous terrorists,0.0
has refused,0.0
clashed violently,0.0
branded,0.0
see the world in terms of good and evil states,0.0
accused,0.0
a war criminal,0.0
taking care to avoid directly criticizing,0.0
because of what they did,0.0
unilateralist overdrive,0.0
created misery,0.0
divergent views,0.0
deserve justice and to be treated as war criminals,0.0
concern,0.0
suffered,0.0
unrealistic,0.0
has called into question,0.0
axis of evil,0.0
dangerously absolutist and simplistic stance,0.0
has blamed,0.0
were at odds,0.0
a convenient electoral tool,0.0
criticisms,0.0
might agree,0.0
pinned the tag,0.0
rhetorical petards hurled,0.0
axis of evil,0.0
not a man who likes to improvise,0.0
"deeper the international crisis , the better",0.0
such a bellicose president,0.0
share a hatred,0.0
rhetorical petards,0.0
no master of eloquence,0.0
convenient electoral tool,0.0
an excuse to pursue another unilateral offensive,0.0
to paint a dark picture,0.0
the american empire,0.0
axis of evil,0.0
will surely be on the president's lips,0.0
will have trouble wriggling out of the need to explain and justify,0.0
sounds clumsy,0.0
between civilization and barbarity,0.0
evil empire,0.0
may even get better,0.0
dismissed,0.0
blamed,0.0
scaring away,0.0
is not a good deal,0.0
believes,0.0
shouted,0.0
as if the crowd and people's nerves were already not enough to heat up the atmosphere,0.0
shouted,0.0
demonstrations against,0.0
so there'll be more and more poor people,0.0
you ca n't live with this level of hysteria,0.0
were in a foul mood,0.0
great,0.0
did not want to support,0.0
this level of hysteria,0.0
major uncertainty,0.0
increase the palestinians' suffering and encourage the israeli right - wing stands,0.0
weaker side,0.0
ran out of patience,0.0
complete and blind bias toward israel,0.0
are known for being negative,0.0
rejects,0.0
brought the peace process to a deadlock,0.0
provocations,0.0
subjected to repressive israeli measures,0.0
worsening,0.0
disapproves,0.0
oppressive israeli military campaign,0.0
unrealistic stand,0.0
israeli right - wing policies,0.0
flimsy pretexts,0.0
have been deprived of all their national and human rights,0.0
wronged,0.0
subjugate the palestinian people and liquidate their legitimate rights and aspirations,0.0
plunged the palestinians and israelis into an endless cycle of violence,0.0
stalemate,0.0
criticized,0.0
problems,0.0
threats,0.0
danger they pose,0.0
threats,0.0
saw,0.0
strong criticism,0.0
axis of evil,0.0
used the word of axis of evil to label,0.0
axis of evil,0.0
criticism,0.0
rhetoric of that kind,0.0
wrong,0.0
axis of evil,0.0
did not agree,0.0
israel be harshly condemned,0.0
called on,0.0
oic - eu front against the united states,0.0
should be harshly condemned,0.0
disagreements,0.0
on the rise,0.0
were immediately contested,0.0
were only to be expected,0.0
warned,0.0
heightened concern,0.0
the meat was entering the food chain,0.0
had always denied,0.0
concerns,0.0
axis of evil,0.0
charges,0.0
has likened,0.0
taking issue with,0.0
axis of evil remark,0.0
labeled,0.0
rogue,0.0
declaration of war,0.0
all kinds of provocative activities,0.0
has expressed concern,0.0
responsible,0.0
reflect negatively,0.0
have avoided,0.0
such israeli infractions,0.0
violations,0.0
other aggressive acts against lebanon,0.0
usually committed,0.0
hostility,0.0
such animosity,0.0
fears,0.0
koizumi say 'no' to bush : stick to kyoto protocol,0.0
only benefits corporate america,0.0
rally,0.0
must stop war,0.0
out now,0.0
are also against,0.0
demonstrated,0.0
firmly oppose,0.0
protest,0.0
spurned,0.0
is keeping a wary eye,0.0
infuriated,0.0
making remarks unfavorable,0.0
warning,0.0
warned,0.0
harmed,0.0
by force if necessary,0.0
failed to defend,0.0
warned,0.0
was angered,0.0
something disadvantageous,0.0
are nonetheless concerned,0.0
fears,0.0
gain the upper hand,0.0
took advantage,0.0
concerns,0.0
did not support,0.0
such a mindset will impair,0.0
will try its best,0.0
concerned,0.0
unfavorable,0.0
failed,0.0
warning,0.0
would be harmed,0.0
fears,0.0
did not support,0.0
concerns,0.0
took advantage,0.0
was angered,0.0
keeping a wary eye,0.0
infuriated,0.0
use the situation to gain the upper hand,0.0
criticism,0.0
has long had tense relations,0.0
mate up with terrorist organizations,0.0
could become embarrassing,0.0
fear,0.0
but not for adventures,0.0
horrible attacks,0.0
could destroy entire planets,0.0
has long accused,0.0
such a concept gets us nowhere,0.0
feared,0.0
sharply criticised,0.0
should go,0.0
verbal attack,0.0
one of the most dangerous places on earth,0.0
warned against,0.0
axis of evil,0.0
is the most bellicose and heinous us president,0.0
was only intended to fan up war hysteria,0.0
simplistic,0.0
we can not allow,0.0
they can not be trusted,0.0
war freak,0.0
may put back by years,0.0
we ca n't allow,0.0
they are seeking unilaterally to become the masters of the world,0.0
has riled,0.0
understand,0.0
could be sympathisers,0.0
it is the united states that is threatening,0.0
nations that are n't transparent,0.0
has provoked concern,0.0
want to sweep aside all competitors from other countries,0.0
have hotly denied,0.0
angry anti - us protests erupted,0.0
axis of evil,0.0
any adventure,0.0
voiced opposition,0.0
accused,0.0
the head of an empire of evil,0.0
wanting to exercise world dictatorship,0.0
a chilly reception,0.0
axis of evil,0.0
nations with a terrible history,0.0
is threatening,0.0
nations that are so dictatorial,0.0
willing to starve their people,0.0
nervous,0.0
axis of evil,0.0
fear,0.0
strong view,0.0
axis of evil,0.0
to deny,0.0
would be difficult because,0.0
the biggest concern,0.0
the 'axis of evil,0.0
to fight against international terrorism,0.0
branded,0.0
will be forced,0.0
will be forced to introduce,0.0
eradication,0.0
against terrorism,0.0
many problems,0.0
to tighten the noose around the axis of evil,0.0
the axis of evil,0.0
evil,0.0
axis of evil,0.0
hostility to,0.0
united states' hostility to islam,0.0
axis of evil,0.0
axis of evil,0.0
remove suspicion,0.0
self - destructive,0.0
not devoid of slips of the tongue,0.0
at the expense,0.0
not a successful choice,0.0
would not be out of necessity,0.0
not viable,0.0
collapse from within,0.0
longest destructive war,0.0
living in isolation,0.0
antagonize,0.0
extremist inclinations,0.0
purposes of intimidation and exaggeration,0.0
extremist inclinations,0.0
disappoint,0.0
expresses the concern,0.0
does not desire,0.0
designated,0.0
assuming a rigid stance against,0.0
could be hobbled,0.0
axis of evil,0.0
will be faced with difficulties,0.0
no way,0.0
lead to questions,0.0
referred to,0.0
now requires action rather than mere lip service,0.0
axis of evil,0.0
can not speak openly,0.0
axis of evil,0.0
aid for terrorists,0.0
names,0.0
axis of evil,0.0
grimly replied,0.0
inhumane,0.0
have refused to serve,0.0
moribund,0.0
unprecedented,0.0
do reject,0.0
"warm peace , not a cold peace",0.0
devastating,0.0
has lost control,0.0
stuck for 18 months on ground zero,0.0
badly shaking ( their ) faith in,0.0
oppression,0.0
certifiably dead,0.0
sitting on the fence,0.0
some seem doubtful,0.0
oppressive,0.0
has been very critical,0.0
as difficult as it may be,0.0
axis of evil,0.0
but,0.0
sabre - rattling,0.0
sabre - rattling,0.0
new - found,0.0
concern,0.0
angered,0.0
combative talk,0.0
will not reopen talks,0.0
rejected,0.0
scrupulously avoided,0.0
voiced concern,0.0
might encourage,0.0
repeatedly threatened,0.0
tensions between,0.0
the major enemy,0.0
running rampant,0.0
threatened,0.0
the united states' biggest enemy,0.0
to ignore,0.0
which is beyond bush's imagination,0.0
are extremely concerned,0.0
is greatly responsible,0.0
china threat advocates,0.0
taiwan independence,0.0
it will be difficult,0.0
which is getting worse day after day,0.0
brings no good to world peace and economic development,0.0
dissatisfied,0.0
row,0.0
strategic competitor,0.0
only becoming worse,0.0
will not concur,0.0
drastically,0.0
not satellites,0.0
sees,0.0
lump,0.0
dictatorial regime,0.0
not try to change the world by command,0.0
as good as decided,0.0
unmanageable,0.0
axis of evil,0.0
reproached,0.0
noted critically,0.0
are vegetating in a place where they have no rights,0.0
no enemy of consequence in sight,0.0
depriving them of their rights,0.0
quite the contrary,0.0
criticizing not,0.0
long been denied,0.0
evil in politics,0.0
bush backtracked,0.0
somewhat insane,0.0
have not been able to live without,0.0
however late,0.0
just as soon avoid,0.0
inappropriate,0.0
admonishing,0.0
countries are poor because they want to be,0.0
will not be able to change until the end of mankind,0.0
narrow,0.0
to deny them an appeal before court of law,0.0
protests,0.0
would have had to resign had he not given in,0.0
only half as wild,0.0
held,0.0
above all fails,0.0
in face of the economic and government paralysis,0.0
it is not possible to rule out the risk of a breakdown,0.0
likely just an aggravating factor,0.0
simply do not understand,0.0
is concern,0.0
made a harsh appraisal,0.0
degeneration of the democratic process,0.0
is not a sure thing,0.0
not safe,0.0
are willing to die,0.0
has not once,0.0
does not want,0.0
current spiral of violence,0.0
lowly outpost,0.0
no israeli government can provide security,0.0
avoid the need for it,0.0
can not integrate itself,0.0
an alien seedling,0.0
twisted and distorted,0.0
willing to die,0.0
a great wall of china in the middle east,0.0
has not brought the israeli public security,0.0
israel's superior ability to punish palestinians,0.0
burden,0.0
retaliating,0.0
desperate,0.0
doggedly,0.0
prevent any hope,0.0
to deny,0.0
deigned,0.0
with grim determination,0.0
not a normal country,0.0
desperate palestinians,0.0
persists,0.0
not the best of solutions,0.0
no longer live by the sword,0.0
destroyed,0.0
complete with walls and razor wire,0.0
are willing to die,0.0
near impossible,0.0
no place in israel can be considered safe,0.0
rapidly absorbing,0.0
will not withdraw,0.0
continues to demolish,0.0
impede the functioning of a multi - party democracy,0.0
no justification,0.0
responsible for zimbabwe's crisis,0.0
lambasted,0.0
some are beginning to forget,0.0
what is europe,0.0
roundly condemned,0.0
dismissing,0.0
deteriorating,0.0
neo - colonial,0.0
balkanisation,0.0
economic colonialism,0.0
neo - colonialism,0.0
"formulate , implement , or benefit from policies that undermine or injure zimbabwe's democratic institutions",0.0
consecrate violence and counter violence,0.0
despite the perils,0.0
implicitly encouraged,0.0
no more than,0.0
occupation,0.0
campaign of suppression,0.0
despite israel's provocations,0.0
colonialism,0.0
accuses,0.0
beleaguered,0.0
frail excuses and pretexts,0.0
surrounded to the point of strangulation,0.0
difficult israeli demands,0.0
injured scores,0.0
was explicitly embraced,0.0
contradicts the efforts to calm down the situation,0.0
even against vehicles transporting pregnant women in labor and against unarmed citizens,0.0
imposed by military force,0.0
bloodbaths,0.0
palestinian hand that is stretched for peace,0.0
message,0.0
provocations,0.0
resort to all means to impede the march for peace,0.0
slaughter of more than,0.0
clear and do not need further clarification or explanation,0.0
the arrows,0.0
would not accept,0.0
reckless,0.0
try to threaten national dignity to the end,0.0
such remarks,0.0
settle scores,0.0
axis of evil,0.0
will fight,0.0
so - called,0.0
an axis of evil,0.0
vicious remarks that called,0.0
will only invite worse criticism and rejection,0.0
the number one country in wmd and ballistic missiles sales and concerned technology sales,0.0
an axis of evil,0.0
anti - bush hot winds,0.0
are denouncing,0.0
predicament,0.0
preposterous,0.0
not satisfied,0.0
simply a blatant act of the world's worst rogue state to do someone harm,0.0
inflicted nuclear disaster on humankind,0.0
continue to spew out vicious remarks,0.0
strong protest and denunciation,0.0
the us imperialist war maniacs' conspiracy,0.0
"getting strong criticism , denunciation , and rejection",0.0
axis of evil,0.0
provoked by the fact,0.0
spew,0.0
perpetrates spiteful conduct of all kinds worldwide,0.0
clinging to a new conspiracy,0.0
absurd,0.0
vicious,0.0
indeed the ring leader and empire of evil,0.0
worse criticism and rejection,0.0
try to threaten,0.0
going haywire to dominate the world,0.0
in such a complex state,0.0
the war maniacs,0.0
imperialist war maniacs,0.0
absolutely do not go,0.0
us imperialist war maniacs,0.0
it can not be anything but gangster - like logic,0.0
all kinds of vicious conduct,0.0
unjust,0.0
nonsense,0.0
threatens,0.0
another diversionary tactic,0.0
how accustomed they are to trickery,0.0
criticism,0.0
the world's biggest exporter,0.0
decrying,0.0
lashed out,0.0
sympathy,0.0
warned,0.0
accused,0.0
attacks,0.0
suffered,0.0
threatened,0.0
bitter deadlock,0.0
neo - colonialism,0.0
suspend,0.0
whether,0.0
ballot rigging,0.0
thoroughly disgraceful and unacceptable,0.0
it's not their ( britain's ) right or responsibility,0.0
fraud,0.0
oppose,0.0
decided,0.0
increasingly angry opposition,0.0
leading a racist campaign against,0.0
why should,0.0
accused,0.0
railing,0.0
no decisive action,0.0
severely damaged,0.0
calls,0.0
reportedly,0.0
leading a racist campaign,0.0
would be badly damaged,0.0
alienation,0.0
would not have been a free and fair poll,0.0
that's ridiculous,0.0
failed to take decisive action,0.0
rejecting,0.0
has warned,0.0
premature,0.0
premature,0.0
do not like,0.0
it will not be free and fair,0.0
for punitive action,0.0
a real problem,0.0
could be damaged,0.0
were likely not to be free and fair,0.0
indirectly criticised,0.0
interfered,0.0
impugned by biased reports,0.0
denounced,0.0
what he called,0.0
made such charges,0.0
tarnishing the image,0.0
repeated his stereotyped allegations against,0.0
without having any knowledge of the realities,0.0
arrogant,0.0
stereotyped allegations,0.0
under the strong influence,0.0
such biased,0.0
biased attitude,0.0
human rights violations,0.0
spiteful attitude,0.0
nothing new,0.0
made unfounded charges by accusing,0.0
spiteful attitude clearly shows,0.0
false image,0.0
are only dictated to him,0.0
discrimination,0.0
downfall of their puppet pahlavi regime,0.0
only create mistrust,0.0
accuse,0.0
expressing concern,0.0
attitude,0.0
mistrust,0.0
only a hireling,0.0
human rights violations,0.0
human rights violation,0.0
anti - iran reports,0.0
unfounded charges,0.0
lost their illegitimate interests,0.0
human rights violations,0.0
will not,0.0
concern,0.0
severe consequences,0.0
significant,0.0
is likely to produce a negative effect,0.0
accusing,0.0
to further encourage,0.0
committing wrong - doings,0.0
to call,0.0
groundless plot,0.0
rated,0.0
intervention of domestic affairs,0.0
casting dark clouds,0.0
starving its people,0.0
is feared,0.0
comprehensively blamed,0.0
strongly denounced,0.0
poor,0.0
took issue,0.0
axis of evil,0.0
resistance against,0.0
tense relationship between,0.0
countries of special concern,0.0
developing weapons of mass destruction,0.0
such pessimism,0.0
no power,0.0
lack of religious freedom,0.0
particularly designated,0.0
accused,0.0
poor human rights conditions,0.0
brutal and oppressive rule,0.0
harsh,0.0
remaining problems,0.0
arbitrarily,0.0
a problem,0.0
not implemented in practice,0.0
problems remain,0.0
numerous serious abuses,0.0
vigorously lobby,0.0
remained poor,0.0
infringement,0.0
but,0.0
criticism,0.0
how can,0.0
unilateral,0.0
massacring thousands of innocent people,0.0
to express concern,0.0
under the excuse of fighting terrorism,0.0
another example,0.0
under the excuse of fighting terrorism,0.0
the top violator of human rights of the last christian year,0.0
concern,0.0
blame,0.0
extensive protest,0.0
the same unilateral policy,0.0
unilateral policy does not identify any limits for itself,0.0
does not care,0.0
denied its citizens their legitimate rights,0.0
has violated the rights of the minorities,0.0
because of its repeated violation,0.0
without,0.0
a tool to advance america's foreign policy,0.0
assumes the right to interfere,0.0
in metal cages named detention centres,0.0
has accused,0.0
refusing to identify,0.0
to express openly dissenting political and religious views,0.0
distorts,0.0
remained poor,0.0
filled with repression,0.0
turns a blind eye,0.0
abuses including torture,0.0
unreasonable,0.0
points fingers,0.0
double standards,0.0
condemned,0.0
quick to suppress,0.0
interference,0.0
needed to be wiped out,0.0
has rejected,0.0
"concluded in its scathing 70 , 000 - word report",0.0
points fingers,0.0
done with ulterior motives,0.0
express their deep dissatisfaction and firm opposition,0.0
gave poor grades,0.0
threat,0.0
under the pretext,0.0
charged,0.0
goes against the facts,0.0
repression,0.0
unreasonable,0.0
warned,0.0
criticised,0.0
have shown reluctance,0.0
slammed by,0.0
contravenes,0.0
opposed,0.0
loud opposition,0.0
twists and turns,0.0
alleged proliferation of weapons of mass destruction,0.0
grim and complicated,0.0
accusations,0.0
conceded,0.0
disagreed,0.0
perennially divisive issue of taiwan,0.0
roundly criticised,0.0
a more serious dip,0.0
firmly opposed,0.0
disagree,0.0
mild and routine criticism,0.0
worries,0.0
inhumane,0.0
is not justified,0.0
is not appropriate,0.0
"although , of course , these super - rigid activities are to a great extent warranted",0.0
is accused,0.0
no small number of critical shots,0.0
particular concern is raised,0.0
is accused,0.0
it is conducting a war without rules,0.0
excessive use of force,0.0
"beginning a new offensive on religious minorities , persecuting muslims",0.0
injudicial shootings,0.0
torture,0.0
utilizing force in an inappropriate volume,0.0
pretext,0.0
particularly frequently and unceremoniously,0.0
is charged,0.0
provocative,0.0
denies,0.0
suspected,0.0
claims,0.0
dispute,0.0
protests and demonstrations,0.0
a row,0.0
disputes,0.0
restricts,0.0
feel,0.0
stipulated,0.0
not so well sourced,0.0
"reports sowing the seeds of hatred and malice , or disparaging",0.0
allegations of,0.0
was repetitive,0.0
significant restrictions on citizens' rights,0.0
arbitrary arrests,0.0
criminalise,0.0
repetitive,0.0
disparaging,0.0
sowing the seeds of hatred and malice,0.0
place additional restrictions on freedom of expression and the press,0.0
three or four separate references to the same incidents,0.0
wrongful,0.0
"any act of violence or use of threat , regardless of reason and aim",0.0
a lack of transparent investigations,0.0
expressed concern,0.0
incommunicado detentions,0.0
alleged,0.0
gaffe,0.0
gaffe,0.0
sneaked into,0.0
"the modern , 21st - century version of the stars and stripes",0.0
it is impossible to expect,0.0
axis of evil remark,0.0
can not be solved by washington's arbitrary decision,0.0
find no grounds for any support,0.0
rejection,0.0
axis of evil,0.0
getting on the nerves,0.0
to such policy,0.0
empire of evil,0.0
injustice,0.0
voices criticizing,0.0
demonstrations and rallies against,0.0
axis of evil,0.0
would incur its displeasure,0.0
found itself literally in the plight of a punching bag,0.0
axis of evil remark,0.0
drove the united states into a corner,0.0
came forward opposing,0.0
expressed concerns,0.0
suppression of palestinians,0.0
spoke out against,0.0
policy of isolation and stifling,0.0
axis of evil rhetoric,0.0
is even more troubled,0.0
such us policy,0.0
do not agree,0.0
even sent letters of protest,0.0
it is inevitable for injustice to meet denunciation and rejection,0.0
denunciation and rejection,0.0
"countless letters , statements , and comments protesting",0.0
made nonsensical gaffes,0.0
gaffe,0.0
unreasonably,0.0
strong denunciation,0.0
axis of evil rhetoric,0.0
